i_32_a,sign,i_32_b,o_32_s,o_expected,Delta,%saiso,,,,,,,,,
19850314,0,50492.1836,19900806,19900806.1836,-0.183600001037121,-0.00000092257569539280%,,,,,,,,,
50492.1836,0,19850314,19900806,19900806.1836,-0.183600001037121,-0.00000092257569539280%,,,,,,,,,
19850314,1,50492.1836,19799822,19799821.8164,0.183600001037121,0.00000092728107727236%,,,,,,,,,
50492.1836,1,19850314,-19799822,-19799821.8164,-0.183600001037121,0.00000092728107727236%,,,,,,,,,
5554928,0,-559.559,5554368.5,5554368.441,0.0590000003576279,0.00000106222698375777%,,,,,,,,,
-559.559,0,5554928,5554368.5,5554368.441,0.0590000003576279,0.00000106222698375777%,,,,,,,,,
5554928,1,-559.559,5555487.5,5555487.559,-0.0590000003576279,-0.00000106201300481803%,,,,,,,,,
-559.559,1,5554928,-5555487.5,-5555487.559,0.0590000003576279,-0.00000106201300481803%,,,,,,,,,
15935519,0,68636.8281,16004156,16004155.8281,0.171900000423193,0.00000107409601774417%,,,,,,,,,
68636.8281,0,15935519,16004156,16004155.8281,0.171900000423193,0.00000107409601774417%,,,,,,,,,
15935519,1,68636.8281,15866882,15866882.1719,-0.171900000423193,-0.00000108338864914258%,,,,,,,,,
68636.8281,1,15935519,-15866882,-15866882.1719,0.171900000423193,-0.00000108338864914258%,,,,,,,,,
-13342890,0,93483.6016,-13249407,-13249406.3984,-0.601600000634789,0.00000454058078184875%,,,,,,,,,
93483.6016,0,-13342890,-13249407,-13249406.3984,-0.601600000634789,0.00000454058078184875%,,,,,,,,,
-13342890,1,93483.6016,-13436373,-13436373.6016,0.601600000634789,-0.00000447739857846131%,,,,,,,,,
93483.6016,1,-13342890,13436373,13436373.6016,-0.601600000634789,-0.00000447739857846131%,,,,,,,,,
-233546.4531,0,17154.5645,-216391.8906,-216391.8886,-0.00200000000768341,0.00000092424906525975%,,,,,,,,,
17154.5645,0,-233546.4531,-216391.8906,-216391.8886,-0.00200000000768341,0.00000092424906525975%,,,,,,,,,
-233546.4531,1,17154.5645,-250701.0156,-250701.0176,0.00200000000768341,-0.00000079776301940444%,,,,,,,,,
17154.5645,1,-233546.4531,250701.0156,250701.0176,-0.00200000000768341,-0.00000079776301940444%,,,,,,,,,
17563536,0,76598.75,17640136,17640134.75,1.25,0.00000708611367041853%,,,,,,,,,
76598.75,0,17563536,17640136,17640134.75,1.25,0.00000708611367041853%,,,,,,,,,
17563536,1,76598.75,17486936,17486937.25,-1.25,-0.00000714819286035924%,,,,,,,,,
76598.75,1,17563536,-17486936,-17486937.25,1.25,-0.00000714819286035924%,,,,,,,,,
2708660,0,29855.0703,2738515,2738515.0703,-0.0702999997884035,-0.00000256708464199550%,,,,,,,,,
29855.0703,0,2708660,2738515,2738515.0703,-0.0702999997884035,-0.00000256708464199550%,,,,,,,,,
2708660,1,29855.0703,2678805,2678804.9297,0.0702999997884035,0.00000262430455495229%,,,,,,,,,
29855.0703,1,2708660,-2678805,-2678804.9297,-0.0702999997884035,0.00000262430455495229%,,,,,,,,,
-9770883,0,33731.6055,-9737152,-9737151.3945,-0.605499999597669,0.00000621845111640848%,,,,,,,,,
33731.6055,0,-9770883,-9737152,-9737151.3945,-0.605499999597669,0.00000621845111640848%,,,,,,,,,
-9770883,1,33731.6055,-9804614,-9804614.6055,0.605499999597669,-0.00000617566343972365%,,,,,,,,,
33731.6055,1,-9770883,9804614,9804614.6055,-0.605499999597669,-0.00000617566343972365%,,,,,,,,,
4090254.5,0,82144.8906,4172399.25,4172399.3906,-0.140600000042468,-0.00000336976369901755%,,,,,,,,,
82144.8906,0,4090254.5,4172399.25,4172399.3906,-0.140600000042468,-0.00000336976369901755%,,,,,,,,,
4090254.5,1,82144.8906,4008109.75,4008109.6094,0.140600000042468,0.00000350788810048325%,,,,,,,,,
82144.8906,1,4090254.5,-4008109.75,-4008109.6094,-0.140600000042468,0.00000350788810048325%,,,,,,,,,
217152.2031,0,5790.8955,222943.1094,222943.0986,0.0107999999599997,0.00000484428539291850%,,,,,,,,,
5790.8955,0,217152.2031,222943.1094,222943.0986,0.0107999999599997,0.00000484428539291850%,,,,,,,,,
217152.2031,1,5790.8955,211361.2969,211361.3076,-0.0107000000134576,-0.00000506242137454377%,,,,,,,,,
5790.8955,1,217152.2031,-211361.2969,-211361.3076,0.0107000000134576,-0.00000506242137454377%,,,,,,,,,
-6854041.5,0,8805.21,-6845236,-6845236.29,0.290000000037253,-0.00000423652285693783%,,,,,,,,,
8805.21,0,-6854041.5,-6845236,-6845236.29,0.290000000037253,-0.00000423652285693783%,,,,,,,,,
-6854041.5,1,8805.21,-6862847,-6862846.71,-0.290000000037253,0.00000422565171992969%,,,,,,,,,
8805.21,1,-6854041.5,6862847,6862846.71,0.290000000037253,0.00000422565171992969%,,,,,,,,,
-9736724,0,16649.8945,-9720074,-9720074.1055,0.105499999597669,-0.00000108538266738082%,,,,,,,,,
16649.8945,0,-9736724,-9720074,-9720074.1055,0.105499999597669,-0.00000108538266738082%,,,,,,,,,
-9736724,1,16649.8945,-9753374,-9753373.8945,-0.105499999597669,0.00000108167697392551%,,,,,,,,,
16649.8945,1,-9736724,9753374,9753373.8945,0.105499999597669,0.00000108167697392551%,,,,,,,,,
